"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 13 16:29:31 BDT 2023","Thu Jul 13 16:29:41 BDT 2023","10469","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","backButtonTest","backButtonTest",""
"passed","Thu Jul 13 16:20:59 BDT 2023","Thu Jul 13 16:21:12 BDT 2023","13239","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","dashBoardButtonTesting","dashBoardButtonTesting",""
"passed","Thu Jul 13 16:24:38 BDT 2023","Thu Jul 13 16:24:55 BDT 2023","17374","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageFAQFirstQuestionTittleVerify","landingPageFAQFirstQuestionTittleVerify",""
"passed","Thu Jul 13 16:28:32 BDT 2023","Thu Jul 13 16:28:41 BDT 2023","8954","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","selectOneBlogDetails","selectOneBlogDetails",""
"passed","Thu Jul 13 16:28:58 BDT 2023","Thu Jul 13 16:29:03 BDT 2023","4470","Suite","Test","testcases.AboutTestCases","testcases.AboutTestCases","aboutUsUniqueFeatureBodyVerify","aboutUsUniqueFeatureBodyVerify",""
"passed","Thu Jul 13 16:26:27 BDT 2023","Thu Jul 13 16:26:37 BDT 2023","10173","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageRecruiterPreferCareerSummaryVerify","landingPageRecruiterPreferCareerSummaryVerify",""
"passed","Thu Jul 13 16:30:36 BDT 2023","Thu Jul 13 16:30:41 BDT 2023","4932","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","prohibitedActivitiesTittleVerify","prohibitedActivitiesTittleVerify",""
"passed","Thu Jul 13 16:31:47 BDT 2023","Thu Jul 13 16:31:56 BDT 2023","9731","Suite","Test","testcases.BlogPageTestCase","testcases.BlogPageTestCase","vlog4TittleUrlVerify","vlog4TittleUrlVerify",""
"passed","Thu Jul 13 16:31:41 BDT 2023","Thu Jul 13 16:31:51 BDT 2023","9906","Suite","Test","testcases.BlogPageTestCase","testcases.BlogPageTestCase","vlog3TittleUrlVerify","vlog3TittleUrlVerify",""
"passed","Thu Jul 13 16:28:02 BDT 2023","Thu Jul 13 16:28:17 BDT 2023","14922","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","loginUserCreateFreeCvButtonTest","loginUserCreateFreeCvButtonTest",""
"passed","Thu Jul 13 16:26:09 BDT 2023","Thu Jul 13 16:26:17 BDT 2023","7308","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageNavLoginButtonTest","landingPageNavLoginButtonTest",""
"passed","Thu Jul 13 16:21:23 BDT 2023","Thu Jul 13 16:21:32 BDT 2023","8576","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","footerAddressVerify","footerAddressVerify",""
"passed","Thu Jul 13 16:23:26 BDT 2023","Thu Jul 13 16:23:36 BDT 2023","10137","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","footerPhoneVerify","footerPhoneVerify",""
"passed","Thu Jul 13 16:29:35 BDT 2023","Thu Jul 13 16:29:41 BDT 2023","5282","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","contactUsTittleVerify","contactUsTittleVerify",""
"passed","Thu Jul 13 16:26:45 BDT 2023","Thu Jul 13 16:26:53 BDT 2023","7514","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageRecruiterPreferProfessionalCertificatesVerify","landingPageRecruiterPreferProfessionalCertificatesVerify",""
"passed","Thu Jul 13 16:30:08 BDT 2023","Thu Jul 13 16:30:13 BDT 2023","4855","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","governingLawTittleVerify","governingLawTittleVerify",""
"passed","Thu Jul 13 16:30:59 BDT 2023","Thu Jul 13 16:31:08 BDT 2023","8636","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","userGeneratedTittleVerify","userGeneratedTittleVerify",""
